radius_0,radius_1,desired_impact_vel,time_step,rho,coeff_of_res,max_pen_depth_percent_0,max_pen_depth_percent_1,collision_steps,real_impact_vel,desired_collision_step_count,initial_separation_distance,simulation_max_step_count,desired_coeff_of_res
0.0000001,0.0000001,0.00000003,1,0.88,error,particles are still colliding,,,,1,0.00000022,1,0.2
0.0000001,0.0000001,0.00000003,1,0.88,error,Coefficient of restitution is greater than 1: 1.3637430499633398,,,,3,0.00000022,1,0.2
0.0000001,0.0000001,0.00000003,1,0.88,error,particles are still colliding,,,,5,0.00000022,1,0.2
0.0000001,0.0000001,0.00000003,1,0.88,error,particles are still colliding,,,,7,0.00000022,1,0.2
0.0000001,0.0000001,0.00000003,1,0.88,error,particles are still colliding,,,,10,0.00000022,1,0.2
0.0000001,0.0000001,0.00000003,1,0.88,error,particles are still colliding,,,,12,0.00000022,1,0.2
0.0000001,0.0000001,0.00000003,1,0.88,error,particles are still colliding,,,,15,0.00000022,1,0.2
0.0000001,0.0000001,0.00000003,1,0.88,error,particles are still colliding,,,,20,0.00000022,1,0.2
0.0000001,0.0000001,0.0000001,1,0.88,error,Coefficient of restitution is greater than 1: 9.401692594909026,,,,1,0.00000022,1,0.2
0.0000001,0.0000001,0.0000001,1,0.88,error,Coefficient of restitution is greater than 1: 1.3637430499633396,,,,3,0.00000022,1,0.2
0.0000001,0.0000001,0.0000001,1,0.88,0.13029117235556484,0.6559428255964268,0.6559428255964268,4,0.0000001,5,0.00000022,1,0.2
0.0000001,0.0000001,0.0000001,1,0.88,0.17062173631650202,1.1066498417758723,1.1066498417758723,6,0.0000001,7,0.00000022,1,0.2
0.0000001,0.0000001,0.0000001,1,0.88,0.12325468890402537,0.8987797451554304,0.8987797451554304,10,0.0000001,10,0.00000022,1,0.2
0.0000001,0.0000001,0.0000001,1,0.88,0.1899754469119611,1.1736539744650503,1.1736539744650503,11,0.0000001,12,0.00000022,1,0.2
0.0000001,0.0000001,0.0000001,1,0.88,0.19189417108955137,1.088971532928611,1.088971532928611,14,0.0000001,15,0.00000022,1,0.2
0.0000001,0.0000001,0.0000001,1,0.88,0.16314437278297758,1.0148998959850761,1.0148998959850761,20,0.0000001,20,0.00000022,1,0.2
0.0000001,0.0000001,0.0000003,1,0.88,error,Coefficient of restitution is greater than 1: 9.401692594909024,,,,1,0.00000022,1,0.2
0.0000001,0.0000001,0.0000003,1,0.88,error,Coefficient of restitution is greater than 1: 1.3637430499633416,,,,3,0.00000022,1,0.2
0.0000001,0.0000001,0.0000003,1,0.88,0.13029117235556484,0.6559428255964268,0.6559428255964268,4,0.0000003,5,0.00000022,1,0.2
0.0000001,0.0000001,0.0000003,1,0.88,0.17062173631650235,1.1066498417758854,1.1066498417758854,6,0.0000003,7,0.00000022,1,0.2
0.0000001,0.0000001,0.0000003,1,0.88,0.12325468890402531,0.8987797451554304,0.8987797451554304,10,0.0000003,10,0.00000022,1,0.2
0.0000001,0.0000001,0.0000003,1,0.88,0.189975446911961,1.1736539744650503,1.1736539744650503,11,0.0000003,12,0.00000022,1,0.2
0.0000001,0.0000001,0.0000003,1,0.88,0.19189417108955129,1.088971532928611,1.088971532928611,14,0.0000003,15,0.00000022,1,0.2
0.0000001,0.0000001,0.0000003,1,0.88,0.1631443727829775,1.0148998959850761,1.0148998959850761,20,0.0000003,20,0.00000022,1,0.2
0.0000001,0.0000001,0.000001,1,0.88,error,Coefficient of restitution is greater than 1: 9.401692594909026,,,,1,0.00000022,1,0.2
0.0000001,0.0000001,0.000001,1,0.88,error,Coefficient of restitution is greater than 1: 1.3637430499633343,,,,3,0.00000022,1,0.2
0.0000001,0.0000001,0.000001,1,0.88,0.13029117235556495,0.6559428255964268,0.6559428255964268,4,0.000001,5,0.00000022,1,0.2
0.0000001,0.0000001,0.000001,1,0.88,0.1706217363165024,1.1066498417758854,1.1066498417758854,6,0.000001,7,0.00000022,1,0.2
0.0000001,0.0000001,0.000001,1,0.88,0.12325468890402445,0.8987797451554304,0.8987797451554304,10,0.000001,10,0.00000022,1,0.2
0.0000001,0.0000001,0.000001,1,0.88,0.18997544691196097,1.1736539744650503,1.1736539744650503,11,0.000001,12,0.00000022,1,0.2
0.0000001,0.0000001,0.000001,1,0.88,0.1918941710895514,1.088971532928611,1.088971532928611,14,0.000001,15,0.00000022,1,0.2
0.0000001,0.0000001,0.000001,1,0.88,0.16314437278296837,1.0148998959850497,1.0148998959850497,20,0.000001,20,0.00000022,1,0.2
