radius_0,radius_1,desired_impact_vel,time_step,rho,coeff_of_res,max_pen_depth_percent_0,max_pen_depth_percent_1,collision_steps,real_impact_vel,desired_collision_step_count,initial_separation_distance,simulation_max_step_count,desired_coeff_of_res
0.0000001,0.0000001,0.00000003,1,0.88,error,Coefficient of restitution is greater than 1: 1.0155315678298076,,,,1,0.00000022,1,0.2
0.0000001,0.0000001,0.00000003,1,0.88,error,Coefficient of restitution is greater than 1: 1.1290134610248483,,,,3,0.00000022,1,0.2
0.0000001,0.0000001,0.00000003,1,0.88,0.3558726116861524,3.4622024339119104,3.4622024339119104,1,0.00000008077321460347143,5,0.00000022,1,0.2
0.0000001,0.0000001,0.00000003,1,0.88,error,particles are still colliding,,,,7,0.00000022,1,0.2
0.0000001,0.0000001,0.00000003,1,0.88,error,particles are still colliding,,,,10,0.00000022,1,0.2
0.0000001,0.0000001,0.00000003,1,0.88,error,particles are still colliding,,,,12,0.00000022,1,0.2
0.0000001,0.0000001,0.00000003,1,0.88,error,particles are still colliding,,,,15,0.00000022,1,0.2
0.0000001,0.0000001,0.00000003,1,0.88,error,particles are still colliding,,,,20,0.00000022,1,0.2
0.0000001,0.0000001,0.0000001,1,0.88,error,particles are still colliding,,,,1,0.00000022,1,0.2
0.0000001,0.0000001,0.0000001,1,0.88,error,particles are still colliding,,,,3,0.00000022,1,0.2
0.0000001,0.0000001,0.0000001,1,0.88,error,particles are still colliding,,,,5,0.00000022,1,0.2
0.0000001,0.0000001,0.0000001,1,0.88,error,particles are still colliding,,,,7,0.00000022,1,0.2
0.0000001,0.0000001,0.0000001,1,0.88,error,particles are still colliding,,,,10,0.00000022,1,0.2
0.0000001,0.0000001,0.0000001,1,0.88,error,particles are still colliding,,,,12,0.00000022,1,0.2
0.0000001,0.0000001,0.0000001,1,0.88,error,particles are still colliding,,,,15,0.00000022,1,0.2
0.0000001,0.0000001,0.0000001,1,0.88,error,particles are still colliding,,,,20,0.00000022,1,0.2
0.0000001,0.0000001,0.0000003,1,0.88,error,particles are still colliding,,,,1,0.00000022,1,0.2
0.0000001,0.0000001,0.0000003,1,0.88,error,particles are still colliding,,,,3,0.00000022,1,0.2
0.0000001,0.0000001,0.0000003,1,0.88,error,particles are still colliding,,,,5,0.00000022,1,0.2
0.0000001,0.0000001,0.0000003,1,0.88,error,particles are still colliding,,,,7,0.00000022,1,0.2
0.0000001,0.0000001,0.0000003,1,0.88,error,particles are still colliding,,,,10,0.00000022,1,0.2
0.0000001,0.0000001,0.0000003,1,0.88,0.01952922859375061,4.405892280253554,4.405892280253554,29,0.00000031457774538403074,12,0.00000022,1,0.2
0.0000001,0.0000001,0.0000003,1,0.88,0.01899162263074429,3.5517051508723108,3.5517051508723108,20,0.00000031262295820207754,15,0.00000022,1,0.2
0.0000001,0.0000001,0.0000003,1,0.88,0.016513831033810614,2.858054148656607,2.858054148656607,23,0.00000031069681054754747,20,0.00000022,1,0.2
0.0000001,0.0000001,0.000001,1,0.88,error,particles are still colliding,,,,1,0.00000022,1,0.2
0.0000001,0.0000001,0.000001,1,0.88,error,particles are still colliding,,,,3,0.00000022,1,0.2
0.0000001,0.0000001,0.000001,1,0.88,error,particles are still colliding,,,,5,0.00000022,1,0.2
0.0000001,0.0000001,0.000001,1,0.88,error,particles are still colliding,,,,7,0.00000022,1,0.2
0.0000001,0.0000001,0.000001,1,0.88,error,particles are still colliding,,,,10,0.00000022,1,0.2
0.0000001,0.0000001,0.000001,1,0.88,error,particles are still colliding,,,,12,0.00000022,1,0.2
0.0000001,0.0000001,0.000001,1,0.88,error,particles are still colliding,,,,15,0.00000022,1,0.2
