radius_0,radius_1,desired_impact_vel,time_step,rho,coeff_of_res,max_pen_depth_percent_0,max_pen_depth_percent_1,collision_steps,real_impact_vel,desired_collision_step_count,initial_separation_distance,simulation_max_step_count,desired_coeff_of_res
0.0000001,0.0000001,0.00000003,1,0.88,0.14070850301027302,0.5251000006366165,0.5251000006366165,6,0.00000003,1,0.00000022,1,0.2
0.0000001,0.0000001,0.00000003,1,0.88,0.14070850301027302,0.5251000006366165,0.5251000006366165,6,0.00000003,3,0.00000022,1,0.2
0.0000001,0.0000001,0.00000003,1,0.88,0.14070850301027302,0.5251000006366165,0.5251000006366165,6,0.00000003,5,0.00000022,1,0.2
0.0000001,0.0000001,0.00000003,1,0.88,0.14070850301027302,0.5251000006366165,0.5251000006366165,6,0.00000003,7,0.00000022,1,0.2
0.0000001,0.0000001,0.00000003,1,0.88,0.12692549251339214,0.41395458384008876,0.41395458384008876,9,0.00000003,10,0.00000022,1,0.2
0.0000001,0.0000001,0.00000003,1,0.88,0.13619437525783684,0.5632465412550017,0.5632465412550017,11,0.00000003,12,0.00000022,1,0.2
0.0000001,0.0000001,0.00000003,1,0.88,0.1400862602505741,0.5213200965012639,0.5213200965012639,14,0.00000003,15,0.00000022,1,0.2
0.0000001,0.0000001,0.00000003,1,0.88,0.1167814863489138,0.4811942549423771,0.4811942549423771,20,0.00000003,20,0.00000022,1,0.2
0.0000001,0.0000001,0.0000001,1,0.88,0.14070850301027732,0.5251000006366034,0.5251000006366034,6,0.0000001,1,0.00000022,1,0.2
0.0000001,0.0000001,0.0000001,1,0.88,0.14070850301027732,0.5251000006366034,0.5251000006366034,6,0.0000001,3,0.00000022,1,0.2
0.0000001,0.0000001,0.0000001,1,0.88,0.14070850301027732,0.5251000006366034,0.5251000006366034,6,0.0000001,5,0.00000022,1,0.2
0.0000001,0.0000001,0.0000001,1,0.88,0.14070850301027732,0.5251000006366034,0.5251000006366034,6,0.0000001,7,0.00000022,1,0.2
0.0000001,0.0000001,0.0000001,1,0.88,0.14070850301027732,0.5251000006366034,0.5251000006366034,6,0.0000001,10,0.00000022,1,0.2
0.0000001,0.0000001,0.0000001,1,0.88,0.14070850301027732,0.5251000006366034,0.5251000006366034,6,0.0000001,12,0.00000022,1,0.2
0.0000001,0.0000001,0.0000001,1,0.88,0.14070850301027732,0.5251000006366034,0.5251000006366034,6,0.0000001,15,0.00000022,1,0.2
0.0000001,0.0000001,0.0000001,1,0.88,0.14070850301027732,0.5251000006366034,0.5251000006366034,6,0.0000001,20,0.00000022,1,0.2
