radius_0,radius_1,desired_impact_vel,time_step,rho,coeff_of_res,max_pen_depth_percent_0,max_pen_depth_percent_1,collision_steps,real_impact_vel,desired_collision_step_count,initial_separation_distance,simulation_max_step_count,desired_coeff_of_res
0.0000001,0.0000001,0.00000003,1,0.88,error,no collision found,,,,1,0.00000022,1,0.2
0.0000001,0.0000001,0.00000003,1,0.88,error,no collision found,,,,3,0.00000022,1,0.2
0.0000001,0.0000001,0.00000003,1,0.88,error,no collision found,,,,5,0.00000022,1,0.2
0.0000001,0.0000001,0.00000003,1,0.88,error,no collision found,,,,7,0.00000022,1,0.2
0.0000001,0.0000001,0.00000003,1,0.88,error,no collision found,,,,10,0.00000022,1,0.2
0.0000001,0.0000001,0.00000003,1,0.88,error,particles are still colliding,,,,12,0.00000022,1,0.2
0.0000001,0.0000001,0.00000003,1,0.88,error,particles are still colliding,,,,15,0.00000022,1,0.2
0.0000001,0.0000001,0.00000003,1,0.88,error,particles are still colliding,,,,20,0.00000022,1,0.2
0.0000001,0.0000001,0.0000001,1,0.88,error,particles are still colliding,,,,1,0.00000022,1,0.2
0.0000001,0.0000001,0.0000001,1,0.88,error,particles are still colliding,,,,3,0.00000022,1,0.2
0.0000001,0.0000001,0.0000001,1,0.88,error,particles are still colliding,,,,5,0.00000022,1,0.2
0.0000001,0.0000001,0.0000001,1,0.88,error,particles are still colliding,,,,7,0.00000022,1,0.2
0.0000001,0.0000001,0.0000001,1,0.88,error,particles are still colliding,,,,10,0.00000022,1,0.2
0.0000001,0.0000001,0.0000001,1,0.88,error,particles are still colliding,,,,12,0.00000022,1,0.2
0.0000001,0.0000001,0.0000001,1,0.88,error,particles are still colliding,,,,15,0.00000022,1,0.2
0.0000001,0.0000001,0.0000001,1,0.88,error,particles are still colliding,,,,20,0.00000022,1,0.2
0.0000001,0.0000001,0.0000003,1,0.88,error,particles are still colliding,,,,1,0.00000022,1,0.2
0.0000001,0.0000001,0.0000003,1,0.88,error,particles are still colliding,,,,3,0.00000022,1,0.2
0.0000001,0.0000001,0.0000003,1,0.88,error,particles are still colliding,,,,5,0.00000022,1,0.2
0.0000001,0.0000001,0.0000003,1,0.88,error,particles are still colliding,,,,7,0.00000022,1,0.2
0.0000001,0.0000001,0.0000003,1,0.88,error,particles are still colliding,,,,10,0.00000022,1,0.2
0.0000001,0.0000001,0.0000003,1,0.88,0.00000031025338075897196,4.229444559257713,4.229444559257713,29,0.0000003,12,0.00000022,1,0.2
0.0000001,0.0000001,0.0000003,1,0.88,0.0006590016895113867,3.4290339722141976,3.4290339722141976,20,0.0000003,15,0.00000022,1,0.2
0.0000001,0.0000001,0.0000003,1,0.88,0.0032604574019253884,2.7778962604955266,2.7778962604955266,23,0.0000003,20,0.00000022,1,0.2
0.0000001,0.0000001,0.000001,1,0.88,error,particles are still colliding,,,,1,0.00000022,1,0.2
0.0000001,0.0000001,0.000001,1,0.88,error,particles are still colliding,,,,3,0.00000022,1,0.2
0.0000001,0.0000001,0.000001,1,0.88,error,particles are still colliding,,,,5,0.00000022,1,0.2
0.0000001,0.0000001,0.000001,1,0.88,error,particles are still colliding,,,,7,0.00000022,1,0.2
0.0000001,0.0000001,0.000001,1,0.88,error,particles are still colliding,,,,10,0.00000022,1,0.2
0.0000001,0.0000001,0.000001,1,0.88,error,particles are still colliding,,,,12,0.00000022,1,0.2
0.0000001,0.0000001,0.000001,1,0.88,error,particles are still colliding,,,,15,0.00000022,1,0.2
0.0000001,0.0000001,0.000001,1,0.88,error,particles are still colliding,,,,20,0.00000022,1,0.2
0.0000001,0.0000001,0.000003,1,0.88,error,Coefficient of restitution is greater than 1: 2.0891098022362153,,,,1,0.00000022,1,0.2
0.0000001,0.0000001,0.000003,1,0.88,error,Coefficient of restitution is greater than 1: 2.0891098022362153,,,,3,0.00000022,1,0.2
0.0000001,0.0000001,0.000003,1,0.88,error,Coefficient of restitution is greater than 1: 2.0891098022362153,,,,5,0.00000022,1,0.2
0.0000001,0.0000001,0.000003,1,0.88,error,Coefficient of restitution is greater than 1: 2.0891098022362153,,,,7,0.00000022,1,0.2
0.0000001,0.0000001,0.000003,1,0.88,error,Coefficient of restitution is greater than 1: 2.0891098022362153,,,,10,0.00000022,1,0.2
0.0000001,0.0000001,0.000003,1,0.88,error,Coefficient of restitution is greater than 1: 2.0891098022362153,,,,12,0.00000022,1,0.2
0.0000001,0.0000001,0.000003,1,0.88,error,Coefficient of restitution is greater than 1: 2.0891098022362153,,,,15,0.00000022,1,0.2
0.0000001,0.0000001,0.000003,1,0.88,error,Coefficient of restitution is greater than 1: 2.0891098022362153,,,,20,0.00000022,1,0.2
0.0000001,0.00000003,0.00000003,1,0.88,error,Coefficient of restitution is greater than 1: 3.543455335818015,,,,1,0.00000014300000000000002,1,0.2
0.0000001,0.00000003,0.00000003,1,0.88,error,Coefficient of restitution is greater than 1: 3.543455335818015,,,,3,0.00000014300000000000002,1,0.2
0.0000001,0.00000003,0.00000003,1,0.88,error,Coefficient of restitution is greater than 1: 1.4916048603537715,,,,5,0.00000014300000000000002,1,0.2
0.0000001,0.00000003,0.00000003,1,0.88,error,particles are still colliding,,,,7,0.00000014300000000000002,1,0.2
0.0000001,0.00000003,0.00000003,1,0.88,error,particles are still colliding,,,,10,0.00000014300000000000002,1,0.2
0.0000001,0.00000003,0.00000003,1,0.88,error,particles are still colliding,,,,12,0.00000014300000000000002,1,0.2
0.0000001,0.00000003,0.00000003,1,0.88,error,particles are still colliding,,,,15,0.00000014300000000000002,1,0.2
0.0000001,0.00000003,0.00000003,1,0.88,error,particles are still colliding,,,,20,0.00000014300000000000002,1,0.2
